01:22:13.09,00:00:23.07
01:22:36.16,00:00:09.63
01:22:45.79,00:00:03.88
01:22:49.67,00:00:20.27
01:23:09.94,00:00:45.72
01:23:55.66,00:00:11.51
01:24:07.17,00:00:17.43
01:24:24.6,00:00:02.63
01:24:27.23,00:00:06.46
01:24:33.69,00:00:02.84
01:24:36.53,00:00:01.63
01:24:38.16,00:01:01.06
01:25:39.22,00:00:03.04
01:25:42.26,00:00:02
01:25:44.26,00:00:01.71
01:25:45.97,00:00:04.93
01:25:50.9,00:00:01.79
01:25:52.69,00:00:02.67
01:25:55.36,00:00:24.65
01:26:20.01,00:00:08.34
01:26:28.35,00:00:03.25
01:26:31.6,00:00:02.26
01:26:33.86,00:00:01.12
01:26:34.98,00:00:16.52
01:26:51.5,00:00:10.01
01:27:01.51,00:00:02.67
01:27:04.18,00:00:03.29
01:27:07.47,00:00:02.17
01:27:09.64,00:00:03.25
01:27:12.89,00:00:01.96
01:27:14.85,00:00:08.6
01:27:23.45,00:00:03.37
01:27:26.82,00:00:08.51
01:27:35.33,00:00:02.67
01:27:38,00:00:01.5
01:27:39.5,00:00:02.01
01:27:41.51,00:00:01.62
01:27:43.13,00:00:27.15
01:28:10.28,00:00:10.1
01:28:20.38,00:00:20.44
01:28:40.82,00:00:12.67
01:28:53.49,00:00:02.13
01:28:55.62,00:00:07.88
01:29:03.5,00:00:02.34
01:29:05.84,00:00:02.63
01:29:08.47,00:00:00.04
01:29:08.51,00:00:01.88
01:29:10.39,00:00:00.12
01:29:10.51,00:00:00.04
01:29:10.55,00:00:00.09
01:29:10.64,00:00:00.04
01:29:10.68,00:00:01.29
01:29:11.97,00:00:00.21
01:29:12.18,00:00:00.5
01:29:12.68,00:00:00.83
01:29:13.51,00:00:00.88
01:29:14.39,00:00:04.51
01:29:18.9,00:00:19.43
01:29:38.33,00:00:03.34
01:29:41.67,00:00:03.29
01:29:44.96,00:00:05.26
01:29:50.22,00:00:03.29
01:29:53.51,00:00:06.84
01:30:00.35,00:00:36.62
01:30:36.97,00:00:34.75
01:31:11.72,00:00:01.91
01:31:13.63,00:00:02.22
01:31:15.85,00:00:01.75
01:31:17.6,00:00:03.33
01:31:20.93,00:00:13.43
01:31:34.36,00:00:02.42
01:31:36.78,00:00:04.72
01:31:41.5,00:00:01.66
01:31:43.16,00:00:15.77
01:31:58.93,00:00:00.04
01:31:58.97,00:00:01.25
01:32:00.22,00:00:02.01
01:32:02.23,00:00:03.62
01:32:05.85,00:00:02.67
01:32:08.52,00:00:02.8
01:32:11.32,00:00:00.04
01:32:11.36,00:00:00.83
01:32:12.19,00:00:02.84
01:32:15.03,00:00:05.8
01:32:20.83,00:00:01.37
01:32:22.2,00:00:01.21
01:32:23.41,00:00:30.74
01:32:54.15,00:00:06.97
01:33:01.12,00:00:13.8
01:33:14.92,00:00:07.39
01:33:22.31,00:00:24.56
01:33:46.87,00:00:02
01:33:48.87,00:00:09.26
01:33:58.13,00:00:06.68
01:34:04.81,00:00:01
01:34:05.81,00:00:35.72
