00:00:00,00:00:12.4
00:00:12.4,00:00:02.8
00:00:15.2,00:00:03.2
00:00:18.4,00:00:07.2
00:00:25.6,00:00:00.8
00:00:26.4,00:00:01.6
00:00:28,00:00:01.6
00:00:29.6,00:00:01.6
00:00:31.2,00:00:03.2
00:00:34.4,00:00:01.6
00:00:36,00:00:00.04
00:00:36.04,00:00:04.76
00:00:40.8,00:00:06.4
00:00:47.2,00:00:01.6
00:00:48.8,00:00:28.8
00:01:17.6,00:00:01.6
00:01:19.2,00:00:03.2
00:01:22.4,00:00:03.2
00:01:25.6,00:00:04.8
00:01:30.4,00:00:01.6
00:01:32,00:00:01.6
00:01:33.6,00:00:01.6
00:01:35.2,00:00:01.6
00:01:36.8,00:00:02.96
00:01:39.76,00:00:01.64
00:01:41.4,00:00:00.92
00:01:42.32,00:00:08.88
00:01:51.2,00:00:04
00:01:55.2,00:00:00.8
00:01:56,00:00:04.8
00:02:00.8,00:00:04.8
00:02:05.6,00:00:05.6
00:02:11.2,00:00:00.76
00:02:11.96,00:00:01.6
00:02:13.56,00:00:01.6
00:02:15.16,00:00:01.6
00:02:16.76,00:00:03.2
00:02:19.96,00:00:03.24
00:02:23.2,00:00:06.4
00:02:29.6,00:00:04.046
